source,line,entry,expression,review
apps/mobile/src/ui/components/AssetExpirationEditor.tsx,40,native alert,"if (expiration) Alert.alert('Change item type?', 'Changing type removes the expiration date from this draft.', [{ text: 'Cancel', style: 'cancel' }, { text: 'Change type', onPress: apply }]);",M138 source/mounted ownership correction; native dialog acceptance pending
apps/mobile/src/ui/feedback/AppFeedback.tsx,82,native alert,Alert.alert(,pending call-site interaction and ownership review
apps/mobile/src/ui/navigation/AppServicesFeedbackGate.tsx,62,shared dialog,showDialog({,pending call-site interaction and ownership review
apps/mobile/src/ui/navigation/PushNotificationNavigation.tsx,18,shared dialog,"if(!controller.signal.aborted)feedback.showDialog({title:'Notification unavailable',message:error instanceof NotificationFailure?error.message:'This notification could not be opened. Check your notifications inbox and try again.',primaryAction:{label:'OK'}});",source-reviewed acknowledgement and abort ownership; confirmation-review.md; physical push acceptance pending
apps/mobile/src/ui/screens/DraftPhotoPreviewModal.tsx,40,native alert,"Alert.alert('Remove photo?', 'This removes the photo from this new item draft.', [",M143 source/mounted ownership correction; native dialog acceptance pending
apps/mobile/src/ui/screens/AssetDetailRouteScreen.tsx,320,shared dialog,feedback.showDialog({,pending call-site interaction and ownership review
apps/mobile/src/ui/screens/AssetDetailRouteScreen.tsx,357,native alert,"Alert.alert(confirmation.title, confirmation.message, [",source/mounted ownership reviewed at64ec341d; confirmation-review.md; native acceptance pending
apps/mobile/src/ui/screens/AssetHistoryDetailRouteScreen.tsx,107,native alert,"(confirmation, confirm) => Alert.alert(confirmation.title, confirmation.message, [",source/mounted ownership reviewed at64ec341d; confirmation-review.md; native acceptance pending
apps/mobile/src/ui/screens/AssetNativeActionSheetScreens.tsx,103,native alert,"Alert.alert('Discard changes?', 'Your edits have not been saved.', [",M145 source/mounted discard ownership correction; native acceptance pending
apps/mobile/src/ui/screens/AssetNativeActionSheetScreens.tsx,132,native alert,"if (operation.isMounted()) Alert.alert('Could not save changes', readableError(error, 'Asset update failed.'));",pending call-site interaction and ownership review
apps/mobile/src/ui/screens/AssetNativeActionSheetScreens.tsx,220,native alert,"if (operation.isMounted()) Alert.alert('Could not create destination', readableError(error, 'Destination creation failed.'));",pending call-site interaction and ownership review
apps/mobile/src/ui/screens/AssetNativeActionSheetScreens.tsx,240,native alert,"if (operation.isMounted()) Alert.alert('Could not move asset', readableError(error, 'Move failed.'));",pending call-site interaction and ownership review
apps/mobile/src/ui/screens/AssetNativeActionSheetScreens.tsx,297,native alert,"if (operation.isMounted()) Alert.alert('Could not move asset here', readableError(error, 'Move failed.'));",pending call-site interaction and ownership review
apps/mobile/src/ui/screens/AssetPhotoViewerSheet.tsx,51,native alert,"Alert.alert('Remove photo?', 'This removes the photo from this asset.', [",M139 source/mounted ownership correction; native gallery confirmation acceptance pending
apps/mobile/src/ui/screens/CustomizationEditorScreen.tsx,171,native alert,"Alert.alert('Discard changes?', 'Your unsaved changes will be lost.', [",pending call-site interaction and ownership review
apps/mobile/src/ui/screens/CustomizationEditorScreen.tsx,240,native alert,"Alert.alert(title, message, [{ text: 'Cancel', style: 'cancel', onPress: () => { if (workflow.cancelLifecycleConfirmation() && resourceOwner.current === resource) setLifecycleBusy(false); } }, { text: action === 'delete' ? 'Delete Permanently' : capitalize(action), style: destructive ? 'destructive' : 'default', onPress: async () => {",pending call-site interaction and ownership review
apps/mobile/src/ui/screens/InventorySharingScreen.tsx,331,native alert,"Alert.alert('Cancel invitation?', `${invitation.email} will no longer be able to use this invitation link.`, [",source/mounted ownership reviewed at64ec341d; confirmation-review.md; native acceptance pending
apps/mobile/src/ui/screens/PhotoSourceChooser.ts,28,native alert,"Alert.alert('Add photos', undefined, [",pending call-site interaction and ownership review
apps/mobile/src/ui/screens/ProviderProfileScreens.tsx,247,native alert,Alert.alert(,pending call-site interaction and ownership review
apps/mobile/src/ui/screens/SettingsDetailScreens.tsx,198,native alert,"Alert.alert('Sign out?', `You’ll need to sign in again as ${label}. This Stuff Stash server will stay saved on your device.`, [",M140 source/mounted visit ownership and late-error correction; native acceptance pending
apps/mobile/src/ui/screens/SettingsDetailScreens.tsx,205,native alert,Alert.alert(,M140 source/mounted visit ownership and late-error correction; native acceptance pending
apps/mobile/src/ui/screens/VoicePlanPhotoDrafts.tsx,29,native alert,"Alert.alert('Could not add photos', error instanceof Error ? error.message : 'Photo selection failed.');",M135 source/mounted correction; native selection/error acceptance pending
apps/mobile/src/ui/screens/useNewConversation.ts,25,native alert,"Alert.alert('Start a new conversation?', 'This clears the conversation and staged photos. It does not undo changes already submitted.', [",M144 source/mounted ownership correction; native confirmation timing pending
apps/mobile/src/ui/screens/useProviderEditorExit.ts,26,native alert,"Alert.alert('Discard changes?', 'Your unsaved replacement will be lost.', [",source/mounted ownership reviewed at64ec341d; confirmation-review.md; native acceptance pending
